,Month,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
179,1980-06-28,00:00:00,12.55,6.8,16.0,,,80.0,8.1,,2.68,1980-06-28
180,1980-06-29,00:00:00,11.65,8.8,15.9,,,87.6666666667,1.3,,0.9,1980-06-29
181,1980-06-30,00:00:00,12.25,9.0,15.5,,,87.0,0.3,,0.91,1980-06-30
182,1980-07-01,00:00:00,12.2,7.0,18.5,,,83.3333333333,0.0,3.88,1.06,1980-07-01
183,1980-07-02,00:00:00,14.375,9.6,20.2,,,79.0,0.0,4.91,1.16,1980-07-02
184,1980-07-03,00:00:00,13.9,9.8,20.0,,,73.3333333333,0.0,5.46,1.4,1980-07-03
185,1980-07-04,00:00:00,14.825,9.2,19.5,,,74.0,0.0,3.09,1.16,1980-07-04
186,1980-07-05,00:00:00,13.6,10.5,17.5,,,82.3333333333,0.0,,1.14,1980-07-05
187,1980-07-06,00:00:00,12.85,9.8,17.4,,,85.6666666667,5.0,,1.29,1980-07-06
188,1980-07-07,00:00:00,12.0,8.3,15.2,,,85.3,1.5,2.6,0.99,1980-07-07
189,1980-07-08,00:00:00,12.55,8.6,16.2,,,86.0,6.9,2.48,0.79,1980-07-08
190,1980-07-09,00:00:00,13.1,7.2,17.0,,,79.33,1.0,3.73,1.27,1980-07-09
191,1980-07-10,00:00:00,12.65,10.2,15.0,,,84.0,0.7000000000000001,2.74,0.84,1980-07-10
192,1980-07-11,00:00:00,13.87,10.0,19.4,,,75.6,1.1,2.9,0.43,1980-07-11
193,1980-07-12,00:00:00,12.8,10.3,17.6,,,86.66,0.0,3.3,1.02,1980-07-12
194,1980-07-13,00:00:00,12.3,9.0,16.5,,,86.3,4.1,2.57,1.25,1980-07-13
195,1980-07-14,00:00:00,11.6,8.5,16.0,,,83.0,3.6,2.73,1.11,1980-07-14
196,1980-07-15,00:00:00,11.0,8.6,17.2,,,,0.9,0.7000000000000001,0.94,1980-07-15
197,1980-07-16,00:00:00,10.9,6.4,12.2,,,86.0,0.0,0.58,1.24,1980-07-16
198,1980-07-17,00:00:00,11.8,7.3,15.0,,,84.0,0.2,4.95,1.53,1980-07-17
199,1980-07-18,00:00:00,11.5,9.9,13.6,,,86.0,0.0,2.15,1.04,1980-07-18
200,1980-07-19,00:00:00,12.9,9.2,16.2,,,80.6,0.0,3.35,1.08,1980-07-19
201,1980-07-20,00:00:00,12.9,8.6,17.0,,,83.6,0.0,3.1,1.18,1980-07-20
202,1980-07-21,00:00:00,12.1,9.0,17.0,,,87.0,0.8,2.67,1.11,1980-07-21
203,1980-07-22,00:00:00,12.5,8.8,16.6,,,83.3,0.7000000000000001,3.9,1.32,1980-07-22
204,1980-07-23,00:00:00,12.1,9.8,15.2,,,87.6,1.5,2.67,1.26,1980-07-23
205,1980-07-24,00:00:00,12.6,9.8,16.6,,,80.33,7.4,3.3,1.08,1980-07-24
206,1980-07-25,00:00:00,12.5,9.2,17.2,,,82.0,0.0,4.25,0.96,1980-07-25
207,1980-07-26,00:00:00,12.8,9.6,17.6,,,80.0,0.0,4.38,0.94,1980-07-26
208,1980-07-27,00:00:00,12.0,9.0,17.0,,,80.33,4.7,3.1,0.75,1980-07-27
209,1980-07-28,00:00:00,10.8,10.0,13.4,,,85.33,2.0,1.2,0.35,1980-07-28
210,1980-07-29,00:00:00,11.3,6.1,16.2,,,85.66,0.0,2.99,0.87,1980-07-29
